,Airline,Source,Destination,Duration,Total stops,Price,Date
0,Air India,DEL,BOM,2h 05m ,nonstop ,423 SAR ,2022-04-01
1,Vistara,DEL,BOM,2h 00m ,nonstop ,360 SAR ,2022-04-01
2,SpiceJet,DEL,BOM,2h 15m ,nonstop ,320 SAR ,2022-04-01
3,Air India,DEL,BOM,2h 05m ,nonstop ,358 SAR ,2022-04-01
4,Air India,DEL,BOM,2h 10m ,nonstop ,358 SAR ,2022-04-01
5,Air India,DEL,BOM,2h 10m ,nonstop ,358 SAR ,2022-04-01
6,Air India,DEL,BOM,2h 15m ,nonstop ,358 SAR ,2022-04-01
7,Air India,DEL,BOM,2h 15m ,nonstop ,358 SAR ,2022-04-01
8,Vistara,DEL,BOM,2h 05m ,nonstop ,360 SAR ,2022-04-01
9,Vistara,DEL,BOM,2h 10m ,nonstop ,360 SAR ,2022-04-01
10,Vistara,DEL,BOM,2h 10m ,nonstop ,360 SAR ,2022-04-01
11,Vistara,DEL,BOM,2h 10m ,nonstop ,360 SAR ,2022-04-01
12,Vistara,DEL,BOM,2h 10m ,nonstop ,360 SAR ,2022-04-01
13,Vistara,DEL,BOM,2h 15m ,nonstop ,360 SAR ,2022-04-01
14,Vistara,DEL,BOM,2h 15m ,nonstop ,360 SAR ,2022-04-01
15,Vistara,DEL,BOM,2h 20m ,nonstop ,360 SAR ,2022-04-01
16,Vistara,DEL,BOM,2h 20m ,nonstop ,360 SAR ,2022-04-01
17,Air India,DEL,BOM,2h 15m ,nonstop ,378 SAR ,2022-04-01
18,SpiceJet,DEL,BOM,2h 15m ,nonstop ,320 SAR ,2022-04-01
19,SpiceJet,DEL,BOM,2h 15m ,nonstop ,320 SAR ,2022-04-01
20,SpiceJet,DEL,BOM,2h 25m ,nonstop ,320 SAR ,2022-04-01
21,Air India,DEL,BOM,2h 35m ,nonstop ,358 SAR ,2022-04-01
22,IndiGo,DEL,BOM,2h 05m ,nonstop ,359 SAR ,2022-04-01
23,IndiGo,DEL,BOM,2h 05m ,nonstop ,359 SAR ,2022-04-01
24,IndiGo,DEL,BOM,2h 05m ,nonstop ,359 SAR ,2022-04-01
25,IndiGo,DEL,BOM,2h 05m ,nonstop ,359 SAR ,2022-04-01
26,IndiGo,DEL,BOM,2h 10m ,nonstop ,359 SAR ,2022-04-01
27,IndiGo,DEL,BOM,2h 10m ,nonstop ,359 SAR ,2022-04-01
28,IndiGo,DEL,BOM,2h 10m ,nonstop ,359 SAR ,2022-04-01
29,IndiGo,DEL,BOM,2h 10m ,nonstop ,359 SAR ,2022-04-01
30,IndiGo,DEL,BOM,2h 10m ,nonstop ,359 SAR ,2022-04-01
31,IndiGo,DEL,BOM,2h 15m ,nonstop ,359 SAR ,2022-04-01
32,Vistara,DEL,BOM,2h 20m ,nonstop ,360 SAR ,2022-04-01
33,IndiGo,DEL,BOM,2h 15m ,nonstop ,370 SAR ,2022-04-01
34,Vistara,DEL,BOM,2h 20m ,nonstop ,386 SAR ,2022-04-01
35,GoFirst,DEL,BOM,2h 10m ,nonstop ,387 SAR ,2022-04-01
36,GoFirst,DEL,BOM,2h 10m ,nonstop ,387 SAR ,2022-04-01
37,Vistara,DEL,BOM,2h 20m ,nonstop ,384 SAR ,2022-04-01
38,AirAsia India,DEL,BOM,1h 50m ,nonstop ,402 SAR ,2022-04-01
39,Vistara,DEL,BOM,2h 10m ,nonstop ,437 SAR ,2022-04-01
40,IndiGo,DEL,BOM,2h 20m ,nonstop ,359 SAR ,2022-04-01
41,IndiGo,DEL,BOM,2h 25m ,nonstop ,359 SAR ,2022-04-01
42,GoFirst,DEL,BOM,2h 10m ,nonstop ,387 SAR ,2022-04-01
43,GoFirst,DEL,BOM,2h 15m ,nonstop ,387 SAR ,2022-04-01
44,GoFirst,DEL,BOM,2h 15m ,nonstop ,387 SAR ,2022-04-01
45,GoFirst,DEL,BOM,2h 15m ,nonstop ,387 SAR ,2022-04-01
46,GoFirst,DEL,BOM,2h 15m ,nonstop ,387 SAR ,2022-04-01
47,GoFirst,DEL,BOM,2h 30m ,nonstop ,387 SAR ,2022-04-01
48,Air India,DEL,BOM,2h 15m ,nonstop ,358 SAR ,2022-04-01
49,IndiGo,DEL,BOM,2h 05m ,nonstop ,359 SAR ,2022-04-01
50,Vistara,DEL,BOM,2h 10m ,nonstop ,360 SAR ,2022-04-01
51,Air India,DEL,BOM,3h 05m ,1 stop ,399 SAR ,2022-04-01
52,Air India,DEL,BOM,3h 05m ,nonstop ,424 SAR ,2022-04-01
53,Air India,DEL,BOM,3h 45m ,1 stop ,358 SAR ,2022-04-01
54,IndiGo,DEL,BOM,2h 10m ,nonstop ,359 SAR ,2022-04-01
55,IndiGo,DEL,BOM,2h 10m ,nonstop ,359 SAR ,2022-04-01
56,IndiGo,DEL,BOM,2h 30m ,nonstop ,359 SAR ,2022-04-01
